samp_no,chain_no,age,prop,N
455001,2,3,0.16666666666666666,408
455001,2,4,0.14132762312633834,467
455001,2,5,0.10683760683760683,468
455001,2,6,0.06293706293706294,429
455001,2,7,0.03206997084548105,343
455001,2,8,0,235
455001,2,9,0,141
455001,2,10,0,74
455001,2,11,0,21
455001,3,0,0.21929824561403508,114
455001,3,1,0.23300970873786409,206
455001,3,2,0.1967741935483871,310
455001,3,3,0.14215686274509803,408
455001,3,4,0.1670235546038544,467
455001,3,5,0.1047008547008547,468
455001,3,6,0.06993006993006994,429
455001,3,7,0.026239067055393587,343
455001,3,8,0,235
455001,3,9,0,141
455001,3,10,0,74
455001,3,11,0,21
455001,4,0,0.18421052631578946,114
455001,4,1,0.24757281553398058,206
455001,4,2,0.2,310
455001,4,3,0.16176470588235295,408
455001,4,4,0.145610278372591,467
455001,4,5,0.09829059829059829,468
455001,4,6,0.05827505827505827,429
455001,4,7,0.029154518950437316,343
455001,4,8,0,235
455001,4,9,0,141
455001,4,10,0,74
455001,4,11,0,21
455001,5,0,0.17543859649122806,114
455001,5,1,0.2524271844660194,206
455001,5,2,0.23870967741935484,310
455001,5,3,0.15931372549019607,408
455001,5,4,0.12633832976445397,467
455001,5,5,0.10042735042735043,468
455001,5,6,0.0675990675990676,429
455001,5,7,0.037900874635568516,343
455001,5,8,0,235
455001,5,9,0,141
455001,5,10,0,74
455001,5,11,0,21
460001,1,0,0.2543859649122807,114
460001,1,1,0.21844660194174756,206
460001,1,2,0.2161290322580645,310
460001,1,3,0.15931372549019607,408
460001,1,4,0.1349036402569593,467
460001,1,5,0.10256410256410256,468
460001,1,6,0.06526806526806526,429
460001,1,7,0.029154518950437316,343
460001,1,8,0,235
460001,1,9,0,141
460001,1,10,0,74
460001,1,11,0,21
460001,2,0,0.21052631578947367,114
460001,2,1,0.25728155339805825,206
460001,2,2,0.1967741935483871,310
460001,2,3,0.15196078431372548,408
460001,2,4,0.12633832976445397,467
460001,2,5,0.10256410256410256,468
460001,2,6,0.0675990675990676,429
460001,2,7,0.029154518950437316,343
460001,2,8,0,235
460001,2,9,0,141
460001,2,10,0,74
460001,2,11,0,21
460001,3,0,0.22807017543859648,114
460001,3,1,0.23786407766990292,206
460001,3,2,0.18387096774193548,310
460001,3,3,0.14705882352941177,408
460001,3,4,0.14775160599571735,467
460001,3,5,0.08333333333333333,468
460001,3,6,0.06526806526806526,429
460001,3,7,0.03498542274052478,343
460001,3,8,0,235
460001,3,9,0,141
460001,3,10,0,74
460001,3,11,0,21
460001,4,0,0.2631578947368421,114
460001,4,1,0.18932038834951456,206
460001,4,2,0.2,310
460001,4,3,0.16666666666666666,408
460001,4,4,0.13276231263383298,467
460001,4,5,0.09615384615384616,468
460001,4,6,0.07226107226107226,429
460001,4,7,0.04081632653061224,343
460001,4,8,0,235
460001,4,9,0,141
460001,4,10,0,74
460001,4,11,0,21
460001,5,0,0.21052631578947367,114
460001,5,1,0.2621359223300971,206
460001,5,2,0.2064516129032258,310
460001,5,3,0.16176470588235295,408
460001,5,4,0.145610278372591,467
460001,5,5,0.09615384615384616,468
460001,5,6,0.07692307692307693,429
460001,5,7,0.029154518950437316,343
460001,5,8,0,235
460001,5,9,0,141
460001,5,10,0,74
460001,5,11,0,21
465001,1,0,0.21929824561403508,114
465001,1,1,0.2524271844660194,206
465001,1,2,0.2032258064516129,310
465001,1,3,0.13480392156862744,408
465001,1,4,0.13704496788008566,467
465001,1,5,0.09401709401709402,468
465001,1,6,0.055944055944055944,429
465001,1,7,0.037900874635568516,343
465001,1,8,0,235
465001,1,9,0,141
465001,1,10,0,74
465001,1,11,0,21
465001,2,0,0.19298245614035087,114
465001,2,1,0.22330097087378642,206
465001,2,2,0.1935483870967742,310
465001,2,3,0.14705882352941177,408
465001,2,4,0.139186295503212,467
465001,2,5,0.11538461538461539,468
465001,2,6,0.04895104895104895,429
465001,2,7,0.037900874635568516,343
465001,2,8,0,235
465001,2,9,0,141
465001,2,10,0,74
465001,2,11,0,21
465001,3,0,0.17543859649122806,114
465001,3,1,0.24757281553398058,206
465001,3,2,0.21935483870967742,310
465001,3,3,0.17647058823529413,408
465001,3,4,0.11991434689507495,467
465001,3,5,0.1111111111111111,468
465001,3,6,0.07226107226107226,429
465001,3,7,0.03206997084548105,343
465001,3,8,0,235
465001,3,9,0,141
465001,3,10,0,74
465001,3,11,0,21
465001,4,0,0.21052631578947367,114
465001,4,1,0.2766990291262136,206
465001,4,2,0.1774193548387097,310
465001,4,3,0.13970588235294118,408
465001,4,4,0.13276231263383298,467
465001,4,5,0.10897435897435898,468
465001,4,6,0.055944055944055944,429
465001,4,7,0.04081632653061224,343
465001,4,8,0,235
465001,4,9,0,141
465001,4,10,0,74
465001,4,11,0,21
465001,5,0,0.2543859649122807,114
465001,5,1,0.24757281553398058,206
465001,5,2,0.1967741935483871,310
465001,5,3,0.15196078431372548,408
465001,5,4,0.09207708779443255,467
465001,5,5,0.10897435897435898,468
465001,5,6,0.07226107226107226,429
465001,5,7,0.029154518950437316,343
465001,5,8,0,235
465001,5,9,0,141
465001,5,10,0,74
465001,5,11,0,21
470001,1,0,0.20175438596491227,114
470001,1,1,0.2669902912621359,206
470001,1,2,0.2161290322580645,310
470001,1,3,0.15196078431372548,408
470001,1,4,0.145610278372591,467
470001,1,5,0.1111111111111111,468
470001,1,6,0.05827505827505827,429
470001,1,7,0.03206997084548105,343
470001,1,8,0,235
470001,1,9,0,141
470001,1,10,0,74
470001,1,11,0,21
470001,2,0,0.23684210526315788,114
470001,2,1,0.2087378640776699,206
470001,2,2,0.2064516129032258,310
470001,2,3,0.1715686274509804,408
470001,2,4,0.13276231263383298,467
470001,2,5,0.1111111111111111,468
470001,2,6,0.0675990675990676,429
470001,2,7,0.02040816326530612,343
470001,2,8,0,235
470001,2,9,0,141
